Time 	k1	k2	k3	
0	0	0	0	
0.1	-0.00757987	0.116341	1.11634	
0.2	-0.687001	0.668677	-1.53132	
0.3	-1.50565	1.02297	-4.17703	
0.4	-1.9357	0.907623	-2.72571	
0.5	-1.68755	0.866772	-3.99989	
0.6	-1.48379	1.19138	-3.87528	
0.7	-1.44146	0.71034	-3.12299	
0.8	-2.05806	0.306088	-0.560578	
0.9	-2.65242	0.499189	-1.73414	
1	-2.66668	0.49649	-0.136843	
1.1	-2.59267	0.321216	-1.04545	
1.2	-2.11715	0.584424	-0.682243	
1.3	-1.92984	0.563301	-0.903366	
1.4	-1.40123	0.379136	0.0124698	
1.5	-1.15294	0.414461	0.681128	
1.6	-0.666428	0.488717	1.08872	
1.7	-0.615438	0.133668	1.00033	
1.8	-0.932606	-0.0634666	-0.0301333	
1.9	-1.01221	0.060349	-0.806318	
2	-1.09361	0.399694	-1.56697	
2.1	-1.06649	0.508842	-1.32449	
2.2	-1.25695	0.564721	-2.03528	
2.3	-1.1179	0.495022	-1.83831	
2.4	-1.04323	0.664698	-1.5353	
2.5	-1.13041	0.523629	-1.6097	
2.6	-1.46031	0.562688	-0.0706451	
2.7	-1.68585	0.591282	0.124615	
2.8	-1.51326	0.485945	0.685945	
2.9	-1.58038	0.437936	0.271269	
3	-1.63701	0.671968	0.038635	
3.1	-1.40481	0.529158	1.12916	
3.2	-1.41979	0.44066	0.807327	
3.3	-1.44033	0.462082	1.62875	
3.4	-1.44443	0.317641	1.41764	
3.5	-1.38942	0.425806	1.79247	
3.6	-1.3049	0.354461	1.65446	
3.7	-1.36113	0.194681	1.39468	
3.8	-1.37669	0.178999	1.31233	
3.9	-1.43485	0.238834	1.23883	
4	-1.48274	0.216151	1.11615	
4.1	-1.44945	0.178261	1.51159	
4.2	-1.4987	0.190444	1.45711	
4.3	-1.42759	0.190241	1.39024	
4.4	-1.42158	0.121777	1.78844	
4.5	-1.50601	0.0939273	1.72726	
4.6	-1.40704	0.0834199	1.65009	
4.7	-1.35458	0.188458	1.68846	
4.8	-1.37152	0.224189	1.65752	
4.9	-1.39667	0.163613	1.56361	
5	-1.38236	0.102936	1.50294	
5.1	-1.36763	0.126552	1.49322	
5.2	-1.32813	0.18703	1.4537	
5.3	-1.31504	0.185319	1.41865	
5.4	-1.32927	0.175891	1.37589	
5.5	-1.32927	0.165674	1.86567	
5.6	-1.32927	0.165674	1.86567	
5.7	-1.32927	0.165674	1.86567	
5.8	-1.32927	0.165674	1.86567	
5.9	-1.32927	0.165674	1.86567	
6	-1.32927	0.165674	1.86567	
6.1	-1.32927	0.165674	1.86567	
6.2	-1.32927	0.165674	1.86567	
6.3	-1.32927	0.165674	1.86567	
6.4	-1.32927	0.165674	1.86567	
6.5	-1.32927	0.165674	1.86567	
6.6	-1.32927	0.165674	1.86567	
6.7	-1.32927	0.165674	1.86567	
6.8	-1.32927	0.165674	1.86567	
6.9	-1.32927	0.165674	1.86567	
7	-1.32927	0.165674	1.86567	
7.1	-1.32927	0.165674	1.86567	
7.2	-1.32927	0.165674	1.86567	
7.3	-1.32927	0.165674	1.86567	
7.4	-1.32927	0.165674	1.86567	
7.5	-1.32927	0.165674	1.86567	
7.6	-1.32927	0.165674	1.86567	
7.7	-1.32927	0.165674	1.86567	
7.8	-1.32927	0.165674	1.86567	
7.9	-1.32927	0.165674	1.86567	
8	-1.32927	0.165674	1.86567	
8.1	-1.32927	0.165674	1.86567	
8.2	-1.32927	0.165674	1.86567	
8.3	-1.32927	0.165674	1.86567	
8.4	-1.32927	0.165674	1.86567	
8.5	-1.32927	0.165674	1.86567	
8.6	-1.32927	0.165674	1.86567	
8.7	-1.32927	0.165674	1.86567	
8.8	-1.32927	0.165674	1.86567	
8.9	-1.32927	0.165674	1.86567	
9	-1.32927	0.165674	1.86567	
9.1	-1.32927	0.165674	1.86567	
9.2	-1.32927	0.165674	1.86567	
9.3	-1.32927	0.165674	1.86567	
9.4	-1.32927	0.165674	1.86567	
9.5	-1.32927	0.165674	1.86567	
9.6	-1.32927	0.165674	1.86567	
9.7	-1.32927	0.165674	1.86567	
9.8	-1.32927	0.165674	1.86567	
9.9	-1.32927	0.165674	1.86567	
10	-1.32927	0.165674	1.86567	
