Time 	A	B	C	
0	100	0	0	
0.1	56	36	8	
0.2	59	32	9	
0.3	63	27	10	
0.4	46	35	19	
0.5	44	33	23	
0.6	44	27	29	
0.7	31	33	36	
0.8	34	20	46	
0.9	32	21	47	
1	27	19	54	
1.1	23	21	56	
1.2	22	18	60	
1.3	26	11	63	
1.4	19	13	68	
1.5	21	7	72	
1.6	14	11	75	
1.7	11	12	77	
1.8	17	6	77	
1.9	15	8	77	
2	18	5	77	
2.1	15	6	79	
2.2	13	8	79	
2.3	10	9	81	
2.4	12	5	83	
2.5	7	9	84	
2.6	10	2	88	
2.7	7	4	89	
2.8	4	5	91	
2.9	6	3	91	
3	6	3	91	
3.1	3	3	94	
3.2	3	3	94	
3.3	3	1	96	
3.4	1	3	96	
3.5	3	0	97	
3.6	0	3	97	
3.7	2	1	97	
3.8	1	2	97	
3.9	2	1	97	
4	2	1	97	
4.1	2	0	98	
4.2	2	0	98	
4.3	0	2	98	
4.4	0	1	99	
4.5	1	0	99	
4.6	0	1	99	
4.7	0	1	99	
4.8	1	0	99	
4.9	1	0	99	
5	0	1	99	
5.1	0	1	99	
5.2	1	0	99	
5.3	0	1	99	
5.4	0	1	99	
5.5	0	0	100	
5.6	0	0	100	
5.7	0	0	100	
5.8	0	0	100	
5.9	0	0	100	
6	0	0	100	
6.1	0	0	100	
6.2	0	0	100	
6.3	0	0	100	
6.4	0	0	100	
6.5	0	0	100	
6.6	0	0	100	
6.7	0	0	100	
6.8	0	0	100	
6.9	0	0	100	
7	0	0	100	
7.1	0	0	100	
7.2	0	0	100	
7.3	0	0	100	
7.4	0	0	100	
7.5	0	0	100	
7.6	0	0	100	
7.7	0	0	100	
7.8	0	0	100	
7.9	0	0	100	
8	0	0	100	
8.1	0	0	100	
8.2	0	0	100	
8.3	0	0	100	
8.4	0	0	100	
8.5	0	0	100	
8.6	0	0	100	
8.7	0	0	100	
8.8	0	0	100	
8.9	0	0	100	
9	0	0	100	
9.1	0	0	100	
9.2	0	0	100	
9.3	0	0	100	
9.4	0	0	100	
9.5	0	0	100	
9.6	0	0	100	
9.7	0	0	100	
9.8	0	0	100	
9.9	0	0	100	
10	0	0	100	
