Sensitivities for each species and rate constant versus time

A

Time 	k1	k2	k3	
0	0	0	0	
0.1	-1.25121	0.817421	-1.1826	
0.2	-1.24818	0.987122	-3.03617	
0.3	-1.32947	0.850094	-5.07709	
0.4	-1.22675	0.654937	-6.08979	
0.5	-1.49276	0.775988	-7.00933	
0.6	-1.52035	0.656651	-8.74202	
0.7	-1.34141	0.768957	-9.04188	
0.8	-1.0124	0.702283	-9.47618	
0.9	-1.2319	0.818954	-10.5647	
1	-1.42264	0.68079	-10.4658	
1.1	-1.14191	0.889084	-10.8321	
1.2	-1.37022	0.613075	-11.0205	
1.3	-1.00656	0.811207	-10.9293	
1.4	-1.10105	0.614483	-10.7753	
1.5	-0.613051	0.729731	-10.1982	
1.6	-0.723437	0.636248	-11.008	
1.7	-1.00617	0.790988	-10.2066	
1.8	-0.692918	0.74547	-10.7644	
1.9	-0.626157	0.679255	-10.2942	
2	-0.780593	0.812069	-9.58005	
2.1	-0.522791	0.832417	-10.2301	
2.2	-0.821844	0.637199	-9.21496	
2.3	-0.741653	0.6288	-8.91541	
2.4	-0.598639	0.432724	-8.32747	
2.5	-0.576258	0.424234	-7.97291	
2.6	-0.499386	0.610602	-7.45571	
2.7	-0.552484	0.526124	-7.71484	
2.8	-0.295843	0.559004	-6.99649	
2.9	-0.488924	0.463905	-7.03373	
3	-0.308015	0.54038	-6.68908	
3.1	-0.394201	0.421901	-6.71319	
3.2	-0.369263	0.343104	-6.49242	
3.3	-0.414587	0.360284	-6.09516	
3.4	-0.370069	0.247981	-5.94015	
3.5	-0.405273	0.36661	-5.51876	
3.6	-0.36345	0.40261	-5.37696	
3.7	-0.380516	0.306681	-5.0049	
3.8	-0.212176	0.31907	-4.93186	
3.9	-0.235137	0.238415	-4.239	
4	-0.261019	0.239307	-4.34875	
4.1	-0.325743	0.227756	-4.49303	
4.2	-0.383449	0.187901	-3.79325	
4.3	-0.362358	0.229526	-3.5926	
4.4	-0.141253	0.14543	-3.72045	
4.5	-0.184438	0.167225	-3.17465	
4.6	-0.3014	0.160732	-3.41356	
4.7	-0.145842	0.130616	-3.04023	
4.8	-0.169156	0.117771	-2.92131	
4.9	-0.238436	0.0747904	-2.41073	
5	-0.16783	0.0962152	-2.38836	
5.1	-0.0996436	0.0662419	-2.29403	
5.2	-0.171389	0.0473895	-2.10896	
5.3	-0.0684986	0.0659196	-1.9668	
5.4	-0.143035	0.0318869	-1.8347	
5.5	-0.0938565	0.0344182	-1.59222	
5.6	-0.0925081	0.0387324	-1.63836	
5.7	-0.0525138	0.0631553	-1.50938	
5.8	-0.0649091	0.0100657	-1.41799	
5.9	-0.0258937	0.0363789	-1.18626	
6	-0.0266449	0.013398	-1.04278	
6.1	-0.0532297	0.0126403	-1.15618	
6.2	-0.0751283	0.0216647	-1.11773	
6.3	-0.0613513	0.00422049	-0.86882	
6.4	-0.0641197	0.0113124	-0.629942	
6.5	-0.0498569	0.0202674	-0.736753	
6.6	-0.0700452	0.0328135	-0.6675	
6.7	-0.0507399	0.0266028	-0.557423	
6.8	-0.0625212	0.0478468	-0.517615	
6.9	-0.0451858	0.0285179	-0.452146	
7	-0.0539684	0.0387136	-0.627104	
7.1	-0.0673005	0.00156488	-0.385718	
7.2	-0.0381638	0.0183409	-0.435522	
7.3	-0.056009	0.00279492	-0.453238	
7.4	-0.0258128	0.00760108	-0.384014	
7.5	-0.0211271	0.0368225	-0.412339	
7.6	-0.00783211	-0.0106095	-0.372729	
7.7	-0.0236494	0.0079869	-0.343866	
7.8	-0.0385461	-0.00257729	-0.422481	
7.9	-0.0381437	-0.00463384	-0.277925	
8	-0.0189689	-0.00121775	-0.30844	
8.1	-0.00429188	0.00410841	-0.231991	
8.2	-0.0127323	0.0121778	-0.198444	
8.3	-0.0310069	0.011444	-0.224786	
8.4	0.0112476	0.00822837	-0.213173	
8.5	0.000772565	0.00516426	-0.19966	
8.6	0.00535415	0.00877601	-0.14019	
8.7	0.0122574	0.0187868	-0.139363	
8.8	-0.0203323	0.0022069	-0.137435	
8.9	-0.00930715	0.0051723	-0.0678858	
9	-0.0120271	0.0179332	-0.102702	
9.1	-0.0159794	0.00694953	-0.101156	
9.2	-0.0111301	-0.00386104	-0.1295	
9.3	-0.0197858	0.00486349	-0.0898179	
9.4	-0.0058559	0.00156974	-0.0984127	
9.5	-0.00733254	-0.00279964	-0.0386717	
9.6	-0.0131679	0.00254888	-0.118788	
9.7	-0.00869315	0.00363232	-0.0648739	
9.8	-0.0134609	0.00176034	-0.0656725	
9.9	-0.00958501	-0.00699168	-0.0401968	
10	-0.00570859	0.0032506	-0.0105486	

=======================================

B

Time 	k1	k2	k3	
0	0	0	0	
0.1	1.03194	-0.732432	-1.53783	
0.2	0.82846	-0.704197	-2.88558	
0.3	0.66675	-0.500273	-3.37995	
0.4	0.448062	-0.241292	-5.16159	
0.5	0.69976	-0.350543	-5.55539	
0.6	0.593503	-0.157716	-5.31713	
0.7	0.375424	-0.304144	-6.21095	
0.8	-0.0288727	-0.202536	-6.22867	
0.9	0.101275	-0.180843	-6.42699	
1	0.141	-0.0132709	-7.05879	
1.1	-0.118337	-0.211747	-6.90887	
1.2	0.0353939	-0.00216613	-7.57549	
1.3	-0.278143	-0.111553	-6.93032	
1.4	-0.0615668	0.088143	-7.23174	
1.5	-0.399561	0.0555445	-7.59373	
1.6	-0.152631	0.233801	-6.55467	
1.7	0.235906	0.109823	-6.80847	
1.8	-0.0305133	0.1397	-6.41622	
1.9	-0.0409656	0.271578	-6.55513	
2	0.191577	0.106701	-6.95631	
2.1	-0.14021	0.0548032	-5.56973	
2.2	0.117097	0.194036	-5.94379	
2.3	0.0500552	0.0865538	-5.61576	
2.4	-0.089674	0.248489	-5.56846	
2.5	-0.102301	0.276089	-5.4829	
2.6	-0.121934	0.0593246	-5.3971	
2.7	-0.0287242	0.136278	-4.94543	
2.8	-0.253693	0.0836208	-5.01697	
2.9	0.000441022	0.159424	-4.65858	
3	-0.18121	0.0358027	-4.69551	
3.1	-0.0224045	0.0689633	-4.20895	
3.2	-0.0764782	0.148204	-3.9158	
3.3	-0.105019	0.102854	-3.87878	
3.4	-0.1339	0.203686	-3.6975	
3.5	-0.102578	0.0763866	-3.57943	
3.6	-0.150317	0.0524029	-3.25895	
3.7	-0.0361501	0.0932224	-3.24233	
3.8	-0.20178	0.0220924	-2.8013	
3.9	-0.220652	0.0786618	-3.05485	
4	-0.199751	0.0867921	-2.72752	
4.1	-0.109617	0.0790705	-2.22056	
4.2	0.0293166	0.0675875	-2.43104	
4.3	0.0345935	0.0423214	-2.33556	
4.4	-0.186314	0.0766762	-1.98912	
4.5	-0.152044	0.0427223	-2.19941	
4.6	-0.0179208	0.0507698	-1.60355	
4.7	-0.157777	0.0532147	-1.73247	
4.8	-0.127286	0.043579	-1.56394	
4.9	-0.0706389	0.0870429	-1.74599	
5	-0.124791	0.0163565	-1.55858	
5.1	-0.198901	0.0342331	-1.44118	
5.2	-0.0653298	0.0246875	-1.30159	
5.3	-0.139863	-0.012992	-1.30358	
5.4	-0.0120405	0.0232611	-1.25116	
5.5	-0.0614199	0.0110109	-1.27461	
5.6	-0.0399053	0.0242859	-1.05234	
5.7	-0.0685063	0.00867085	-0.997085	
5.8	-0.0446229	0.0376216	-0.939018	
5.9	-0.0796039	0.0213836	-1.07709	
6	-0.0538278	0.0319603	-1.0428	
6.1	0.00382633	0.0425609	-0.792997	
6.2	-0.00525006	0.0407168	-0.694663	
6.3	-0.0148552	0.0526433	-0.804422	
6.4	-0.0120549	0.0426371	-0.895686	
6.5	-0.0470551	0.0392343	-0.711259	
6.6	-0.0102839	0.0355383	-0.69291	
6.7	-0.0436503	0.0451127	-0.714297	
6.8	-0.0427962	0.025647	-0.667195	
6.9	-0.0453985	0.0304874	-0.677863	
7	-0.0334229	0.0143231	-0.475412	
7.1	-0.0155665	0.0420812	-0.651413	
7.2	-0.0445793	0.0207847	-0.552225	
7.3	-0.00941608	0.0314413	-0.450247	
7.4	-0.0354434	0.0175941	-0.473822	
7.5	-0.02217	-0.00716161	-0.442234	
7.6	-0.0282303	0.030421	-0.428628	
7.7	-0.0232257	0.000525217	-0.397725	
7.8	0.000225324	0.00924617	-0.275821	
7.9	0.00633451	0.00899116	-0.384437	
8	-0.00159389	0.0172217	-0.311179	
8.1	-0.0131023	0.0101102	-0.358561	
8.2	0.00299284	0.00744037	-0.336367	
8.3	0.0145577	0.00912634	-0.296802	
8.4	-0.0230383	0.0107013	-0.264981	
8.5	-0.00799626	0.016987	-0.235193	
8.6	-0.0179849	0.014507	-0.264445	
8.7	-0.0261617	-0.000708424	-0.226177	
8.8	-0.00264899	0.00765786	-0.220012	
8.9	-0.0107499	0.00229523	-0.247671	
9	-0.00576083	8.69465e-05	-0.167161	
