Species mean populations versus time

Time 	A	B	C	
0	100	0	0	
0.1	57.4113	36.4093	6.17944	
0.2	52.8659	33.8669	13.2671	
0.3	48.9133	31.2843	19.8024	
0.4	45.1744	28.8952	25.9304	
0.5	41.8175	26.6562	31.5262	
0.6	38.3518	24.9506	36.6976	
0.7	35.6573	22.8659	41.4768	
0.8	32.9284	21.2006	45.871	
0.9	30.5625	19.5222	49.9153	
1	28.1452	18.1361	53.7188	
1.1	26.0071	16.7883	57.2046	
1.2	23.995	15.6351	60.37	
1.3	22.2984	14.37	63.3317	
1.4	20.5887	13.3075	66.1038	
1.5	19.0746	12.2016	68.7238	
1.6	17.6512	11.2369	71.1119	
1.7	16.4254	10.2742	73.3004	
1.8	15.1391	9.5877	75.2732	
1.9	13.9768	8.87097	77.1522	
2	12.7702	8.45766	78.7722	
2.1	11.8871	7.69456	80.4183	
2.2	11.0323	7.0504	81.9173	
2.3	10.128	6.59879	83.2732	
2.4	9.49395	5.97177	84.5343	
2.5	8.7006	5.61492	85.6845	
2.6	8.07661	5.22077	86.7026	
2.7	7.39214	4.875	87.7329	
2.8	6.84879	4.49798	88.6532	
2.9	6.27218	4.17641	89.5514	
3	5.9002	3.74395	90.3558	
3.1	5.36996	3.53427	91.0958	
3.2	4.93044	3.30948	91.7601	
3.3	4.55544	3.02722	92.4173	
3.4	4.19355	2.81855	92.9879	
3.5	3.88306	2.57258	93.5444	
3.6	3.62198	2.37903	93.999	
3.7	3.31351	2.21573	94.4708	
3.8	3.05444	2.03125	94.9143	
3.9	2.76008	1.94556	95.2944	
4	2.58972	1.74597	95.6643	
4.1	2.39819	1.56754	96.0343	
4.2	2.11089	1.54435	96.3448	
4.3	1.96673	1.39919	96.6341	
4.4	1.83165	1.29335	96.875	
4.5	1.68246	1.20766	97.1099	
4.6	1.54637	1.13306	97.3206	
4.7	1.44859	1.04032	97.5111	
4.8	1.2873	1.01109	97.7016	
4.9	1.15524	0.988911	97.8558	
5	1.04536	0.929435	98.0252	
5.1	0.982863	0.84879	98.1683	
5.2	0.910282	0.778226	98.3115	
5.3	0.831653	0.722782	98.4456	
5.4	0.747984	0.691532	98.5605	
5.5	0.678427	0.646169	98.6754	
5.6	0.628024	0.599798	98.7722	
5.7	0.597782	0.52621	98.876	
5.8	0.534274	0.510081	98.9556	
5.9	0.5	0.478831	99.0212	
6	0.44254	0.467742	99.0897	
6.1	0.427419	0.417339	99.1552	
6.2	0.376008	0.400202	99.2238	
6.3	0.345766	0.363911	99.2903	
6.4	0.292339	0.367944	99.3397	
6.5	0.284274	0.328629	99.3871	
6.6	0.243952	0.321573	99.4345	
6.7	0.205645	0.311492	99.4829	
6.8	0.203629	0.264113	99.5323	
6.9	0.176411	0.25	99.5736	
7	0.178427	0.222782	99.5988	
7.1	0.152218	0.220766	99.627	
7.2	0.146169	0.201613	99.6522	
7.3	0.149194	0.173387	99.6774	
7.4	0.137097	0.164315	99.6986	
7.5	0.118952	0.162298	99.7188	
7.6	0.104839	0.152218	99.7429	
7.7	0.100806	0.134073	99.7651	
7.8	0.0997984	0.117944	99.7823	
7.9	0.0856855	0.125	99.7893	
8	0.0846774	0.108871	99.8065	
8.1	0.0665323	0.115927	99.8175	
8.2	0.0574597	0.105847	99.8367	
8.3	0.0584677	0.0977823	99.8438	
8.4	0.0534274	0.0887097	99.8579	
8.5	0.0453629	0.0877016	99.8669	
8.6	0.0403226	0.0856855	99.874	
8.7	0.0423387	0.0715726	99.8861	
8.8	0.0413306	0.0635081	99.8952	
8.9	0.0292339	0.0645161	99.9062	
9	0.0372984	0.0483871	99.9143	
9.1	0.0352823	0.0453629	99.9194	
9.2	0.0272177	0.047379	99.9254	
9.3	0.0241935	0.0433468	99.9325	
9.4	0.0272177	0.0352823	99.9375	
9.5	0.0221774	0.0352823	99.9425	
9.6	0.0231855	0.0332661	99.9435	
9.7	0.0171371	0.0372984	99.9456	
9.8	0.0191532	0.0322581	99.9486	
9.9	0.0141129	0.0332661	99.9526	
10	0.0110887	0.0292339	99.9597	
